order2,home,away,rivalry,favored,underdog,line,etp,fminusu,favscore,undscore,tp,fro1,fpo1,fto1,fso1,frd1,fped1,ftd1,fsd1,fws,fls,fsched,uro1,upo1,uto1,uso1,urd1,uped1,utd1,usd1,uws,uls,usced,frank,urank,fnr,unr,finj,uinj,top25game,confgame,nightgame,conference,week,year,stadium,power5,ACC,BigEast,BigTen,BigTwelve,CUSA,IND,MAC,MntWest,NonConf,PacTen,SEC,SunBelt,WAC,NoRivalry,MinorRivalry,MajorRivalry,AnyRivalry,Home_Rating,Away_Rating,,,fsched,finj,power5,Any
1062,Bowling Green,Akron,None,Bowling Green,Akron,14,59,-10,14,24,38,131,334.14,465.14,35.86,217.71,128.91,399.86,29.71,0,1,0.35714286,88.14,272.43,360.57,20.29,150.29,134.11,385.57,29.57,0,2,0.3,0,0,1,1,2,0,0,1,0,MAC,9,2005,30599,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,67.2,63.88,,,0.48648649,1,0,0
1198,Navy,Temple,None,Navy,Temple,28,54,21,38,17,55,276.89,121.44,398.33,31,166.22,128.04,359.78,27,0,1,0.32394366,76.6,157.5,234.1,9,184.3,164.39,457.5,46,0,11,0.61445783,0,0,1,1,2,10,0,1,0,INDP,12,2005,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72.21,49.46,,,0.44444444,1,0,1
1096,Navy,Tulane,None,Navy,Tulane,12.5,54.5,28,49,21,70,263.29,141.29,404.57,29.86,166.57,128.73,355.43,25.71,0,1,0.28888889,78.14,250,328.14,22.57,148.29,122.25,328.86,27.57,0,4,0.40540541,0,0,1,1,2,1,0,1,0,INDP,10,2005,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72.71,54.51,,,0.4592,1,0,0
1082,Ohio,Toledo,None,Toledo,Ohio,11,53,9,30,21,51,214.25,219.88,434.13,36.63,119.5,109.57,302.5,18.88,0,1,0.36170213,200.13,128.5,328.63,20.13,152.25,140.21,441.25,30.13,2,0,0.42592593,0,0,1,1,2,2,0,1,1,MAC,10,2005,24000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,59.9,73.57,,,0.4483,1,0,0
1119,UCF,Houston,None,Houston,UCF,2.5,56.5,-2,29,31,60,183.14,275.86,459,29.86,181.71,107.89,396.71,25.71,1,0,0.54285714,153.13,236.38,389.5,26.13,149.5,123.08,388.75,25.25,2,0,0.42222222,0,0,1,1,2,1,0,1,1,CUSA,10,2005,70188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,66.81,66,,,0.46,1,0,1
1103,SMU,Rice,Minor,SMU,Rice,8,54.5,20,27,7,34,102.63,187.25,289.88,16.63,148.63,124.97,405.25,27.75,0,2,0.46,213.14,90.57,303.71,20.86,210.86,172.8,472.57,45.71,0,13,0.64444444,0,0,1,1,2,3,0,1,0,CUSA,10,2005,32000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,65.14,53.76,,,0.27777778,1,0,0
1021,Utah State,Boise St.,None,Boise St.,Utah State,18.5,60.5,24,45,21,66,220,212.83,432.83,31.83,113.33,142.1,389.33,29,4,0,0.56521739,97.6,166.4,264,19.2,148.6,134.79,383,30.4,0,1,0.25,0,0,1,1,2,0,0,1,0,WAC,8,2005,30257,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,54.35,74.51,,,0.35714286,1,0,0
830,Wisconsin,Indiana,None,Wisconsin,Indiana,17,48,17,41,24,65,239.25,157.5,396.75,39.5,65.5,115.1,328.75,16.75,4,0,0.4,176,239.33,415.33,31,217.33,105.25,353,19.33,3,0,0.2,17,0,0,1,2,1,1,1,0,Big Ten,5,2005,77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84.75,68.39,,,0.32394366,1,0,0
883,Indiana,Illinois,None,Indiana,Illinois,7,54.5,23,36,13,49,163.25,240.5,403.75,29.25,188.75,123.47,359,24.75,0,1,0.6,164,218.2,382.2,22.8,232.2,155.69,468.8,36,0,3,0.64285714,0,0,1,1,2,4,0,1,0,Big Ten,6,2005,52345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68.39,62.79,,,0.28888889,1,0,0
1811,Central Michigan,Western Michigan,Minor,Central Michigan,Western Michigan,5.5,47,24,31,7,38,136.22,249,385.22,28.67,123.22,132.4,361.67,24.67,4,0,0.46052632,147.22,182,329.22,25.67,73.44,116.01,284.22,19.22,4,0,0.35897436,0,0,1,1,2,1,0,1,1,MAC,11,2006,30199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,73.05,68.69,,,0.36170213,1,0,0
1718,Miami-Ohio,Ball State,None,Miami-Ohio,Ball State,5.5,52.5,-3,17,20,37,76.63,245.13,321.75,18.5,162,132.01,328.63,27,0,1,0.38461538,80.88,285.5,366.38,28.75,164.13,153.79,461.63,29.38,0,2,0.49019608,0,0,1,1,2,2,0,1,0,MAC,9,2006,30012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,55.22,62.37,,,0.54285714,1,0,0
1712,Cincinnati,Syracuse,None,Cincinnati,Syracuse,6.5,37.5,14,17,3,20,134.29,182.86,317.14,18.14,93,117.16,322.57,20.86,0,1,0.63043478,107.63,172.5,280.13,21.13,204.63,124.51,412.13,24.88,0,3,0.62264151,0,0,1,1,2,2,0,0,0,NC,9,2006,35000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,76.23,69,,,0.46,1,0,1
1962,Central Michigan,Ohio,None,Central Michigan,Ohio,2.5,43,21,31,10,41,126.58,247.25,373.83,29.5,135.25,126.67,353.17,24,1,0,0.51086957,161.08,124.33,285.42,21.58,130.08,98.69,291.58,16.17,7,0,0.51685393,0,0,1,1,2,6,0,1,1,MAC,14,2006,30199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,73.05,93.88,,,0.56521739,1,0,0
2010,Ohio State,Florida,None,Ohio State,Florida,7.5,47,-27,14,41,55,180.08,229.67,409.75,36.33,93.5,100.84,273,10.42,19,0,0.5530303,160.31,237.77,398.08,28.85,74.46,100.31,268.77,13.46,6,0,0.62237762,1,2,0,0,2,6,1,0,1,NC,15,2006,72886,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,93.88,96.18,,,0.4,1,0,0
2004,Southern Cal,Michigan,None,Michigan,Southern Cal,2.5,47,-14,18,32,50,189.17,185.75,374.92,30.17,43,106.79,254.08,14.58,0,1,0.62406015,134.67,253.25,387.92,30.33,97.67,107.87,293.75,14.92,0,1,0.62222222,3,8,0,0,2,7,1,0,1,NC,15,2006,92059,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,95.57,90.74,,,0.6,1,0,0
1540,Tulsa,Southern Miss,None,Tulsa,Southern Miss,5.5,48,14,20,6,26,135.5,281.75,417.25,30.25,160.75,119.01,274.25,20.5,2,0,0.45454545,181.25,183.25,364.5,27,116.5,110.98,302.25,16.25,3,0,0.66666667,0,0,1,1,2,4,0,0,1,NC,6,2006,40385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.37,73.47,,,0.46052632,1,0,1
2679,West Virginia,Pittsburgh,Major,West Virginia,Pittsburgh,28.5,59.5,-4,9,13,22,310.09,164.73,474.82,41.64,103,114.78,298,17.64,6,0,0.57142857,139.91,188.18,328.09,23.73,132.82,114.76,308.09,25.64,0,2,0.58974359,2,0,0,1,2,9,1,1,0,Big East,14,2007,63500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,92.29,70.43,,,0.38461538,1,0,0
2574,Central Michigan,Eastern Michigan,Minor,Central Michigan,Eastern Michigan,14,67,-3,45,48,93,162.2,263.3,425.5,32.4,177.1,155.09,478.3,37.6,2,0,0.57142857,151.27,176.82,328.09,22,192.55,129.46,418.73,29.91,0,2,0.44,0,0,1,1,2,2,0,1,1,MAC,12,2007,30199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,66.44,56.25,,,0.63043478,1,0,0
2597,Houston,Marshall,None,Houston,Marshall,11.5,65,7,35,28,63,232.8,269.4,502.2,34.2,151.8,134.66,381.3,32.5,0,1,0.41111111,138.8,268.4,407.2,22.4,201.1,147.39,444.2,33.7,1,0,0.57777778,0,0,1,1,2,3,0,0,0,NC,12,2007,50000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,65.76,57.6,,,0.51086957,1,0,0
2508,UAB,Southern Miss,None,Southern Miss,UAB,11,51.5,30,37,7,44,172.38,214.75,387.13,25.63,152.25,130.36,364.75,25.88,0,1,0.39655172,109.75,201,310.75,18.63,237.5,134.56,480,33.5,0,2,0.46551724,0,0,1,1,2,3,0,1,1,CUSA,10,2007,80591,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,50.23,64.8,,,0.5530303,1,0,0
2209,Central Michigan,Northern Illinois,None,Central Michigan,Northern Illinois,3,60,25,35,10,45,131,252,383,23.75,182.25,171.36,509.75,43,0,2,0.81818182,147,191.25,338.25,23.75,176,123.14,421.75,26.5,1,0,0.45454545,0,0,1,1,2,7,0,1,0,MAC,5,2007,30199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,66.44,50.86,,,0.62406015,1,0,0
2239,SMU,UTEP,None,SMU,UTEP,1,60.5,-3,45,48,93,131.75,240.5,372.25,22.25,121,145.07,483,36.5,0,2,0.3,153.5,201.5,355,29.25,119.5,131.65,443.75,23,1,0,0.5,0,0,1,1,2,5,0,1,0,CUSA,5,2007,32000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,47.44,55.94,,,0.45454545,1,0,0
2285,Nevada,Fresno State,None,Nevada,Fresno State,3,52.5,-8,41,49,90,185.5,255.75,441.25,30,258.25,110.06,430.25,31.25,2,0,0.53846154,125.75,200.75,326.5,23.5,236,145,510.25,31.75,0,1,0.53846154,0,0,1,1,2,7,0,1,0,WAC,6,2007,77600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,61.58,72.71,,,0.57142857,1,0,1
